externalid,DocumentId,Group ID,Name,FirstSegment
1,3,1,SYS,1
2,3,1,FACT_ENTETE,0
3,3,1,FACT_MESSAGES,0
4,3,1,FACT_REF,0
5,3,1,FACT_YNQ,0
6,3,1,FACT_TERME_PMENT,0
7,3,1,FACT_DATES,0
8,3,1,FACT_FOB,0
9,3,1,FACT_MESURES,0
10,3,1,FACT_SOMM_TAXE,0
11,3,1,FACT_SOMM_LIVRAIS,0
12,3,1,FACT_SOMMAIRE,0
13,3,2,FACT_COM_CONTACT,1
14,3,2,FACT_ENTITE_COM,0
15,3,3,FACT_NOM,1
16,3,3,FACT_NOM_SUP,0
17,3,3,FACT_ADRESSE_SUP,0
18,3,3,FACT_NOM_LOC_GEO,0
19,3,3,FACT_NOM_REF,0
20,3,4,FACT_NOM_CONTACT,1
21,3,4,FACT_NOM_ENTITE_COM,0
22,3,5,FACT_REF_MESSAGE,1
23,3,5,FACT_MESSAGE_ENTETE,0
24,3,6,FACT_ITEM,1
25,3,6,FACT_ITEM_QTY,0
26,3,6,FACT_ITEM_PRIX,0
27,3,6,FACT_ITEM_PAM,0
28,3,6,FACT_ITEM_MESURE,0
29,3,6,FACT_ITEM_DESC,0
30,3,6,FACT_ITEM_TAXE,0
31,3,6,FACT_ITEM_TERME,0
32,3,6,FACT_CODE_PRODUIT,0
33,3,6,FACT_ITEM_REF,0
34,3,6,FACT_ITEM_DESTINQTE,0
35,3,6,FACT_ITEM_DATES,0
36,3,6,FACT_ITEM_CAD,0
37,3,7,FACT_ITEM_NOM,1
38,3,7,FACT_ITEM_ADRESSE,0
39,3,7,FACT_ITEM_LOC_GEO,0
40,3,8,FACT_ALLCHARG_ITEM,1
41,3,8,FACT_ITEM_SAC_TAXE,0
42,3,9,FACT_SOUS_ITEM,1
43,3,9,FACT_CODE_SOUS_ITEM,0
44,3,10,FACT_SOMM_SAC,1
45,3,10,FACT_SOMM_SAC_TAXE,0
