ExternalId,DocumentId,Segment ID,Name,Usage,Length,Start At,Description
1,7,1,SOURCE,M,20,4,
2,7,1,STANDARD,M,1,24,
3,7,1,VERSION,M,12,25,
4,7,1,TYPEDOCUMENT,M,6,37,
5,7,1,MODE,M,1,43,
6,7,2,NUMEROFACTURE,M,22,20,Invoice Number
7,7,2,DATEFACTURE,M,8,42,Date
8,7,2,UNITEMONETAIRE,O,3,50,Currency Code
9,7,2,TOTALFACTURE,M,15,53,Amount
10,7,2,MONTANTSUJETESCOMPTE,O,15,68,Amount
11,7,2,TRANSPORTEUR,O,35,83,Routing
12,7,2,BILLOFLADING,O,30,118,Reference Identification
13,7,2,NUMEROPO,O,22,148,Purchase Order Number
14,7,2,DATEPO,O,8,170,Date
15,7,2,TYPETRANSACTION,O,2,178,Transaction Type Code
16,7,2,SCAC_CODE,O,4,180,Standard Carrier Alpha Code
17,7,2,CODEMETHODETRANSPORT,O,2,184,Transportation Method/Type Code
18,7,2,CHANGESEQUENCECOMMANDE,O,8,186,Change Order Sequence Number
19,7,2,CODEBUTTRANSACTION,O,2,194,Transaction Set Purpose Code
20,7,2,CODEACTION,O,2,196,Action Code
21,7,2,NOFACTURECONSOLIDATION,O,22,198,Invoice Number
22,7,2,CODESTATUTLIVRAISON,O,2,220,Shipment/Order Status Code
23,7,2,MONTANTAPRESESCOMPTE,O,15,222,Amount
24,7,2,NUMERORELACHE,O,30,237,Release Number
25,7,2,NUMEROEQUIPEMENT,O,10,267,Equipment Number
26,7,2,BUSINESSPARTNERTRANSPCODE,O,80,277,Routing
27,7,3,MESSAGES,M,60,20,Description
28,7,3,MESSAGETYPE,O,2,80,Note Reference Code
29,7,4,TYPEREFERENCE,M,3,20,Reference Identification Qualifier
30,7,4,REFERENCE,M,30,23,Reference Identification
31,7,4,DESCRIPTION,O,80,53,Description
32,7,5,YNCONDITIONREPONSE,M,1,20,YES/NO CONDITION OR RESPONSE CODE
33,7,5,CODELISTQUAL,O,3,21,CODE LIST QUALIFIER CODE
34,7,5,CODEINDUSTRIE,O,30,24,INDUSTRY CODE
35,7,6,TYPECODETERME,O,2,20,Terms Type Code
36,7,6,CODEDATEBASETERME,O,2,22,Terms Basis Date Code
37,7,6,POURCENTAGETERME,O,6,24,Terms Discount Percent
38,7,6,DATEDUEESCOMPTE,O,8,30,Terms Discount Due Date
39,7,6,NBJOURNET,O,3,38,Terms Net Days
40,7,6,MONTANTESCOMPTE,O,10,41,Terms Discount Amount
41,7,6,DESCRIPTIONTERME,O,80,51,Description
42,7,6,DATENET,O,8,131,Terms Net Due Date
43,7,6,NBJOURESCOMPTE,O,3,139,Terms Discount Days Due
44,7,6,JOURDUMOIS,O,2,142,Day of Month
45,7,6,DEFERREDDUEDATE,O,8,144,Terms Deferred Due Date
46,7,6,POURCENTAGEPAYABLE,O,5,152,Percent of Invoice Payable
47,7,7,TYPEDATE,O,3,20,Date/Time Qualifier
48,7,7,DATE,O,8,23,Date
49,7,7,HEURE,O,8,31,Time
50,7,8,METHODEPAIEMENT,O,2,20,Shipment Method of Payment
51,7,8,FOBQUALLOC,O,2,22,Location Qualifier
52,7,8,LOCDESCRIPTION,O,80,24,Description
53,7,8,FOBQUALLOC2,O,2,104,Location Qualifier
54,7,8,LOCDESCRIPTION2,O,80,106,Description
55,7,9,CODEIDMESURE,O,2,20,Measurement Reference ID Code
55,7,9,VALEURMESURE,O,20,22,Measurement Value
56,7,9,UOFMMESURE,O,2,42,Measurement Value
57,7,9,TYPEMESURE,O,3,44,Composite Unit of Measure
58,7,10,TYPETAXE,O,2,20,Tax Type Code
59,7,10,MONTANTTAXE,O,18,22,Monetary Amount
60,7,10,POURCENTAGETAXE,O,10,40,Percent
61,7,10,CODEJURITAXE,O,10,10,Tax Jurisdiction Code
62,7,11,NBREUNITESLIVREES,O,10,20,Number of Units Shipped
63,7,11,UOFM_UNITESLIVREES,O,2,30,Unit or Basis for Measurement Code
64,7,11,POIDS,O,10,32,Weight
65,7,11,UOFM_POIDS,O,2,42,Unit or Basis for Measurement Code
66,7,11,VOLUME,O,8,44,Volume
67,7,11,UOFM_VOLUME,O,2,52,Unit or Basis for Measurement Code
68,7,11,NBREPALETTE3PARTIE,O,15,54,Quantity
69,7,11,POIDSPALETTE3PARTIE,O,10,69,Weight
70,7,11,NOTUSED,O,8,79,
71,7,11,QUALIFIANT DE POIDS,O,3,87,Measurement Qualifier
72,7,11,QUALIFIANTNBRUNITESLIVREES,O,3,90,Measurement Qualifier
73,7,12,NOMBRELIGNEITEM,O,6,20,Number of Line Items
74,7,12,NBREITEMSTOTAL,O,10,26,Hash Total
75,7,13,CONTACTFONCCODE,O,2,20,Contact Function Code
76,7,13,NOMCONTACT,O,60,22,Name
77,7,14,NOCOMQUAL,O,2,20,Communication Number Qualifier
78,7,14,NOCOMMUNICATION,O,80,22,Communication Number
79,7,15,TYPENOM,O,3,20,Entity Identifier Code
80,7,15,NOM,O,60,23,Name
81,7,15,TYPECODEIDNOM,O,3,83,Identification Code Qualifier
82,7,15,CODEIDNOM,O,50,86,Identification Code
83,7,16,NOM,O,60,20,Name
84,7,17,ADRESSE,O,55,20,Address Information
85,7,18,VILLE,O,30,20,City Name
86,7,18,ETAT / PROVINCE,O,2,50,State or Province Code
87,7,18,CODEPOSTAL,O,15,52,Postal Code
88,7,18,CODEPAYS,O,3,67,Country Code
89,7,18,DESCRIPTIONPAYS,O,25,70,Location Identifier
90,7,19,TYPEREFERENCE,O,3,20,Reference Identification Qualifier
91,7,19,REFERENCE,O,30,23,Reference Identification
92,7,20,CONTACTFONCCODE,O,2,20,Contact Function Code
93,7,20,NOMCONTACT,O,60,22,Name
94,7,21,NOCOMQUAL,O,2,20,Communication Number Qualifier
95,7,21,NOCOMMUNICATION,O,80,22,Communication Number
96,7,22,TYPEREFERENCE,O,3,20,Reference Identification Qualifier
97,7,22,REFERENCE,O,30,23,Reference Identification
98,7,22,DESCRIPTION,O,80,53,Free-form Description
99,7,22,DATE,O,8,133,Date
100,7,23,REFMESSAGE,O,264,20,Free-Form Message Text
101,7,24,QUANTITEFACTUREE,O,10,20,Quantity Invoiced
102,7,24,UOFM,O,2,30,Unit or Basis for Measurement Code
103,7,24,QUANTITECOMMANDEE,O,10,32,use for calculation if necessary
104,7,24,PRIXVENTE,O,17,42,Unit Price
105,7,24,UOFMPRIXVENTE,O,2,59,Basis of Unit Price Code
106,7,24,QUANTITEDIFFERENCE,O,9,61,Quantity Difference
107,7,24,PACK,O,6,70,Pack
108,7,24,INNERPACK,O,6,76,Inner Pack
109,7,24,FORMAT,O,8,82,Size
110,7,24,UOFMFORMAT,O,2,90,Unit or Basis for Measurement Code
111,7,24,POIDSUNITAIRE,O,9,92,Gross Weight per Pack
112,7,24,UOFMPOIDS,O,2,101,Unit or Basis for Measurement Code
113,7,24,VOLUMEUNITAIRE,O,9,103,Gross Volume per Pack
114,7,24,UOFMVOLUME,O,2,112,Unit or Basis for Measurement Code
115,7,24,RAISONDIFFERENCE,O,2,114,Change Reason Code
116,7,24,PRIXETENDU,O,17,116,usage lost
117,7,24,AUTREQUANTITE,O,10,133,Number of Units Shipped
118,7,24,UOFM_AUTREQTE,O,2,143,Unit or Basis for Measurement Code
119,7,24,STATUTSHIPMENT,O,2,145,Shipment/Order Status Code
120,7,24,IDENTIFICATIONASSIGNER,O,20,147,ASSIGNED IDENTIFICATION
121,7,24,LONGEUR,O,8,167,Length
122,7,24,LARGEUR,O,8,175,Width
123,7,24,HAUTEUR,O,8,183,Height
124,7,24,TYPECODEMESURE,O,2,191,Unit or Basis for Measurement Code
125,7,25,TYPEQTY,O,2,20,Quantity Qualifier
126,7,25,QTY,O,15,22,Quantity
127,7,25,UOFMQTY,O,2,37,Composite Unit of Measure
128,7,25,MESSAGE,O,30,39,
129,7,26,CODEPRIX,O,3,20,Price Identifier Code
130,7,26,PRIX,O,17,23,Unit Price
131,7,26,QUANTITEPRIX,O,15,40,Quantity
132,7,26,UOFM,O,2,55,Unit of Measure
133,7,26,TYPEMULTIPLICATEUR,O,3,57,Price Multiplier Qualifier
134,7,26,MULTIPLICATEUR,O,10,60,Multiplier
135,7,26,MONTANT,O,18,70,Monetary Amount
136,7,27,TYPEMONTANT,O,3,20,Amount Qualifier Code
137,7,27,MONTANT,O,18,23,Monetary Amount
138,7,27,TYPEPOURCENT,O,2,41,Percent Qualifier
139,7,27,POURCENT,O,10,43,Percent
140,7,28,TYPEMESURE,O,3,20,Measurement Qualifier
141,7,28,MESURE,O,20,23,Measurement Value
142,7,29,DESCRIPTIONITEM,O,80,20,Description
143,7,29,TYPEDESCRIPTION,O,1,100,Item Description Type
144,7,29,CODECARACTPRODUIT,O,3,101,Product/Process Characteristic Code
145,7,29,TYPECODEAGENCE,O,2,104,Agency Qualifier Code
146,7,29,CODEDESCPRODUIT,O,12,106,Product Description Code
147,7,30,TYPETAXE,O,2,20,Tax Type Code
148,7,30,MONTANTTAXE,O,18,22,Monetary Amount
149,7,30,POURCENTAGETAXE,O,10,40,Percent
150,7,30,CODEJURITAXE,O,10,50,Tax Jurisdiction Code
151,7,31,TYPECODETERME,O,2,20,Terms Type Code
152,7,31,CODEDATEBASETERME,O,2,22,Terms Basis Date Code
153,7,31,POURCENTAGETERME,O,6,24,Terms Discount Percent
154,7,31,DATEDUEESCOMPTE,O,8,30,Terms Discount Due Date
155,7,31,NBJOURNET,O,3,38,Terms Net Days
156,7,31,MONTANTESCOMPTE,O,10,41,Terms Discount Amount
157,7,31,DESCRIPTIONTERME,O,80,51,Description
158,7,31,DATENET,O,8,131,Terms Net Due Date
159,7,31,NBJOURESCOMPTE,O,3,139,Terms Discount Days Due
160,7,32,TYPECODEPRODUIT,O,2,20,Product/Service ID
161,7,32,CODEPRODUIT,O,48,22,Product/Service ID Qualifier
162,7,33,TYPEREFERENCE,O,3,20,Reference Identification Qualifier
163,7,33,REFERENCE,O,30,23,Reference Identification
164,7,33,DESCRIPTION,O,80,53,Description
165,7,34,MAGASIN,O,80,20,Identification Code
166,7,34,TYPE_CODE_MAGASIN,O,2,100,Identification Code Qualifier
167,7,34,QTE_DESTINATION,O,15,102,Quantity
168,7,34,UOFM_DESTINATION,O,2,117,Unit or Basis for Measurement Code
169,7,35,TYPEDATE,O,3,20,Date/Time Qualifier
170,7,35,DATE,O,8,23,Date
