externalid,DocumentId,SegmentID,Name,Usage,Length,StartAt,Description,ElementId
1,2,1,SOURCE,M,20,4,,1
2,2,1,STANDARD,M,1,24,,2
3,2,1,VERSION,M,12,25,,3
4,2,1,TYPEDOCUMENT,M,6,37,,4
5,2,1,MODE,M,1,43,,5
6,2,1,IDDEFDOC,O,56,44,,6
7,2,1,KEY,O,19,100,,7
8,2,1,SOURCEENVT,O,120,119,,8
9,2,2,CODETRANSACTION,M,13,18,,9
10,2,2,MONTANT,C,18,31,,10
11,2,2,TYPEDEBITCREDIT,C,12,49,,11
12,2,2,CODEMETHODEPAIEMENT,C,14,61,,12
13,2,2,DATEEFFECTIVE,C,8,75,,13
14,2,2,TYPEUNITEMONETAIRE,C,14,83,,14
15,2,2,UNITEMONETAIRE,C,14,97,,15
16,2,2,GENTRANKEY,C,50,111,,16
17,2,2,TYPEORIGINEDFI,C,13,161,,17
18,2,2,ORIGINEDFI,C,12,174,,18
19,2,2,NUMEROCOMPTEORIGINE,C,35,184,,19
20,2,2,IDCOMPAGNIEORIGINE,C,10,221,,20
21,2,2,TYPERECEVEURDFI,C,13,231,,21
22,2,2,RECEVEURDFI,C,12,244,,22
23,2,2,NUMEROCOMPTERECEVEUR,C,35,256,,23
24,2,2,CODEPAIEMENT,C,21,291,,24
25,2,2,TYPECODEORIGINE,C,14,312,,25
26,2,2,IDCOMPAGNIESUPP,C,9,326,,26
27,2,2,TYPECOMPTERECEVEUR,C,14,335,,27
28,2,2,TRACENUMBER,C,1,349,,28
29,2,2,REFTRACE,C,15,350,,29
30,2,2,BUSINESSFUNCTIONCODE,C,14,365,,30
31,2,3,TYPEMONTANT,M,14,18,,31
32,2,3,MONTANT,C,18,32,,32
33,2,4,TYPEMESSAGE,M,14,18,,33
34,2,4,MESSAGE,C,80,32,,34
35,2,5,TYPEREFERENCE,M,14,18,,35
36,2,5,REFERENCE,C,50,32,,36
37,2,5,DESCRIPTION,C,50,32,,37
38,2,6,TYPEDATE,M,14,18,,38
39,2,6,DATE,C,8,32,,39
40,2,6,HEURE,C,8,32,,40
41,2,7,TYPENOM,M,14,18,,41
42,2,7,NOM,M,60,32,,42
43,2,7,TYPECODEIDNOM,C,13,92,,43
44,2,7,CODEIDNOM,C,80,105,,44
45,2,8,NOM,M,60,18,,45
46,2,9,ADRESSE,M,60,18,,46
47,2,10,VILLE,M,30,18,,47
48,2,10,STATE/PROVINCE,M,2,48,,48
49,2,10,CODEPOSTAL,M,15,50,,49
50,2,10,CODEPAYS,O,3,65,,50
51,2,11,TYPEREFERENCE,M,14,18,,51
52,2,11,REFERENCE,M,80,32,,52
53,2,12,NUMEROSEQUENTIEL,M,6,18,,53
54,2,12,CODEIDENTITE,C,14,24,,54
55,2,12,TYPEID,C,13,38,,55
56,2,12,CODEID,C,80,51,,56
57,2,12,CODEIDENTITE2,C,14,131,,57
58,2,12,TYPEID2,C,13,145,,58
59,2,12,CODEID2,C,80,158,,59
60,2,12,TYPE_REFERENCE,C,14,238,,60
61,2,12,REFERENCE,C,50,252,,61
62,2,13,TYPENOM,M,14,18,,62
63,2,13,NOM,M,60,32,,63
64,2,13,TYPE_CODEIDNOM,C,13,92,,64
65,2,13,CODE_IDNOM,C,80,105,,65
66,2,14,ADRESSE,M,60,18,,66
67,2,15,VILLE,M,30,18,,67
68,2,15,PROVINCE,M,2,48,,68
69,2,15,CODEPOSTAL,M,15,50,,69
70,2,15,CODEPAYS,O,3,65,,70
71,2,16,TYPEAJUSTEMENT,M,13,18,,71
72,2,16,MONTANT,M,18,31,,72
73,2,16,TYPEREFERENCE,C,14,49,,73
74,2,16,REFERENCE,C,50,63,,74
75,2,17,MESSAGE,C,80,18,,75
76,2,18,TYPEDATE,M,14,18,,76
77,2,18,DATE,C,8,32,,77
78,2,19,TYPEREFERENCE,M,14,18,,78
79,2,19,REFERENCE,M,50,32,,79
80,2,20,TYPEDATE,M,14,18,,80
81,2,20,DATE,C,8,32,,81
82,2,21,QTE_TOTALE,C,15,18,,82
83,2,21,UOFM,C,13,33,,83
84,2,21,PRIX_VENTE,C,17,46,,84
85,2,21,ASSIGNEDID,C,20,63,,85
86,2,21,UOFM_PRIX,C,13,83,,86
87,2,22,TYPECODEPRODUIT,M,13,18,,87
88,2,22,CODE_PRODUIT,C,48,31,,88
89,2,23,TYPEREFERENCE,M,14,18,,89
90,2,23,REFERENCE,C,50,32,,90
91,2,23,TYPEACTIONPAIEMENT,C,13,82,,91
92,2,23,MONTANTPAIEMENT,C,18,95,,92
93,2,23,TYPEAJUSTEMENT,C,13,113,,93
94,2,23,MONTANTAJUSTEMENT,C,18,126,,94
95,2,23,MONTANTFACTURE,C,18,144,,95
96,2,23,MONTANTESCOMPTETERME,C,18,162,,96
97,2,24,TYPEMONTANT,M,14,18,,97
98,2,24,MONTANT,C,18,32,,98
99,2,25,MESSAGE,C,80,18,,99
100,2,26,TYPEREFERENCE,M,14,18,,100
101,2,26,REFERENCE,M,50,32,,101
102,2,27,TYPEDATE,M,14,18,,102
103,2,27,DATE,M,8,32,,103
104,2,28,QTE_TOTALE,C,15,18,,104
105,2,28,UOFM,C,13,33,,105
106,2,28,PRIX_VENTE,C,17,46,,106
107,2,28,ASSIGNEDID,C,20,63,,107
108,2,28,UOFM_PRIX,C,13,83,,108
109,2,29,TYPECODEPRODUIT,M,13,18,,109
110,2,29,CODE_PRODUIT,C,48,31,,110
111,2,30,TYPE,C,12,18,,111
112,2,30,CODE,C,15,30,,112
113,2,30,NONUTILISE,C,166,45,,113
114,2,30,QUANTITE,C,15,211,,114
115,2,30,UOFM_QUANTITE,C,13,226,,115
