externalid,DocumentId,GroupID,Name,FirstSegment,SegmentId
1,2,1,SYS,1,1
2,2,1,RA_ENTETE,0,2
3,2,1,RA_MONTANT,0,3
4,2,1,RA_MESSAGE,0,4
5,2,1,RA_REF,0,5
6,2,1,RA_DATES,0,6
7,2,2,RA_NOM,1,7
8,2,2,RA_NOM_SUP,0,8
9,2,2,RA_ADRESSE_SUP,0,9
10,2,2,RA_NOM_LOC_GEO,0,10
11,2,2,RA_REF_NOM,0,11
12,2,3,RA_ENTITE,1,12
13,2,4,RA_ENTITE_NOM,1,13
14,2,4,RA_ENTITE_ADR_SUP,0,14
15,2,4,RA_ENTITE_NOM_LOC,0,15
16,2,5,RA_AJUSTEMENT,1,16
17,2,5,RA_ADX_MESSAGE,0,17
18,2,5,RA_AJUST_DATES,0,18
19,2,6,RA_ADX_REF,1,19
20,2,6,RA_ADX_DATES,0,20
21,2,7,RA_ADX_ITEM,1,21
22,2,7,RA_ADX_CODEPROD,0,22
23,2,8,RA_RMR,1,23
24,2,8,RA_RMR_MONTANT,0,24
25,2,8,RA_RMR_MESSAGE,0,25
26,2,8,RA_RMR_REF,0,26
27,2,8,RA_RMR_DATES,0,27
28,2,9,RA_ITEM,1,28
29,2,9,RA_CODEPRODUIT,0,29
30,2,10,RA_SAC_DETAIL,1,30
31,2,11,RA_RMR_AJUSTEMENT,1,31
32,2,11,RA_NOTE_AJUST,0,32
33,2,11,RA_RMR_ADX_REF,0,33
34,2,12,RA_ITEM_AJUST,1,34
35,2,12,RA_CPRODUIT_AJUST,0,35
36,2,13,RA_REF_AJUST,1,36
37,2,13,RA_DATES_AJUST,0,37
