No,DocumentId,SegmentID,Name,Usage,Length,StartAt,Description,ElementId
1,1,1,TYPEDOCUMENT,M,3,4,,1
2,1,1,ESPACE,M,1,7,,2
3,1,1,SOURCE,M,20,8,,3
4,1,1,ESPACE2,M,1,28,,4
5,1,1,STANDARD,M,1,29,,5
6,1,1,VERSION,M,10,30,,6
7,1,1,MODE,M,1,40,,7
8,1,1,DOCUMENTKEY,O,19,100,,8
9,1,2,STATUT,M,13,18,,9
10,1,2,TYPE_PO,M,13,31,,10
11,1,2,DATE_PO,M,8,44,,11
12,1,2,UNITEMONETAIREQUALIFIER,C,14,52,,12
13,1,2,DEVISE,C,14,66,,13
14,1,2,NUMEROPO,M,22,80,,14
15,1,2,NOMBRELIGNESITEMS,C,6,102,,15
16,1,2,NOMBRETOTALITEMS,C,6,108,,16
17,1,2,MONTANTTOTAL,C,18,114,,17
18,1,2,TAUX_ECHANGE_DEVISE,C,10,132,,18
19,1,2,NUMERO_VERSION,C,30,142,,19
20,1,2,NUMERO_CONTRAT,C,30,172,,20
21,1,2,MONTANTTOTALBRUT,C,18,202,,21
22,1,2,POIDSTOTAL,C,10,220,,22
23,1,2,UOFM_POIDSTOTAL,C,13,230,,23
24,1,2,VOLUMETOTAL,C,8,243,,24
25,1,2,UOFM_VOLUMETOTAL,C,13,241,,25
26,1,2,CODE_TYPE_FACTURE,C,14,264,,26
27,1,2,UOFM_NBRTOTALITEM,C,13,278,,27
28,1,2,CODE_TYPETRANSACTION,C,13,291,,28
29,1,2,MONTANTAVECTAXES,C,18,304,,29
30,1,2,NUMEROSEQUENCELIEN,C,6,345,,30
31,1,3,TYPE_REFERENCE,M,14,18,,31
32,1,3,REFERENCE,C,30,32,,32
33,1,3,DESCRIPTION,C,80,62,,33
34,1,4,NUMERO_TAXE,C,20,18,,34
35,1,4,TYPE_CODE_LOCATION,C,13,38,,35
36,1,4,CODE_LOCATION,C,30,51,,36
37,1,4,CODE_EXEMPT_TAXE,C,12,81,,37
38,1,4,TYPE_TAXE,C,13,93,,38
39,1,5,CODE_CONTRAINTE_VENTE,C,13,18,,39
40,1,5,AGENCY_QUALIFIER,C,13,31,,40
41,1,5,SPECIALSERVICECODE,C,21,44,,41
42,1,6,TYPE_DATE,M,14,18,,42
43,1,6,DATE,C,8,32,,43
44,1,6,HEURE,C,8,40,,44
45,1,7,TYPE_MESURE,C,14,18,,45
46,1,7,VALEUR_MESURE,C,18,32,,46
47,1,7,UOFM_MESURE,C,13,50,,47
48,1,8,TYPEDESCRIPTION,C,12,18,,48
49,1,8,CODEEMBALLAGE,C,16,30,,49
50,1,8,CODEAGENCE,C,13,46,,50
51,1,8,CODEPACKDESC,C,18,59,,51
52,1,8,DESCRIPTIONPAQUET,C,80,77,,52
53,1,9,TYPE_IDENTITE,C,13,18,,53
54,1,9,IDENTITE,C,80,31,,54
55,1,9,ROUTING,C,35,111,,55
56,1,9,METHODE_TRANSPORT,C,13,146,,56
57,1,9,STATUTCOMMANDE,C,13,159,,57
58,1,9,NIVEAUSERVICE,C,13,172,,58
59,1,9,TYPELOCATION,C,13,185,,59
60,1,9,IDENTIFICATEURLOCATION,C,30,198,,60
61,1,9,CODESEQUENCEROUTING,C,13,228,,61
62,1,9,CODEECHANGEPALETTE,C,12,241,,62
63,1,9,CODECHARGEMENT,C,13,253,,63
64,1,9,COUNTRYCODE,C,3,266,,64
65,1,10,CODETYPEEQUIPEMENT,C,13,18,,65
66,1,11,DESCRIPTION,C,80,18,,66
67,1,11,CODETRANSPSPECIAL,C,14,98,,67
68,1,12,TYPEMAN,M,13,18,,68
69,1,12,MARKSANDNUMBER,C,48,31,,69
70,1,13,CODE_RESTRICTION,C,13,18,,70
71,1,13,DESCRIPTION,C,80,31,,71
72,1,13,CODE_QUANTITE,C,13,111,,72
73,1,13,QUANTITE,C,15,124,,73
74,1,14,METHODE_PAIEMENT,C,13,18,,74
75,1,14,LOC_QUAL_RESP_TRANSPORT,C,13,31,,75
76,1,14,DESCRIPTION_RESP_TRANSPORT,C,80,44,,76
77,1,14,TRANSPORTTERMEQUALIFIER,C,13,124,,77
78,1,14,TRANSPORTTERME,C,14,137,,78
79,1,14,LOC_QUAL_TITR_PAS,C,13,151,,79
80,1,14,DESCRIPTION_TITR_PAS,C,80,164,,80
81,1,15,CODE_CONTRAINTE_VENTE,C,13,18,,81
82,1,15,AGENCY_QUALIFIER,C,13,31,,82
83,1,16,TYPE,C,12,18,,83
84,1,16,CODE,C,15,30,,84
85,1,16,QUALIFIER_AGENCE,C,2,45,,85
86,1,16,CODE_AGENCE,C,10,47,,86
87,1,16,MONTANT,C,15,57,,87
88,1,16,QUALIFIER_POURCENTAGE,C,1,72,,88
89,1,16,POURCENTAGE,C,6,73,,89
90,1,16,TAUX,C,9,79,,90
91,1,16,CODE_MANIPULATION,C,13,88,,91
92,1,16,IDENTITE_REFERENCE,C,30,101,,92
93,1,16,DESCRIPTION,C,80,131,,93
94,1,16,QUANTITE,C,15,211,,94
95,1,16,UOFM_QUANTITE,C,13,226,,95
96,1,16,QUALIFIER_POURCENTAGE2,C,12,239,,96
97,1,16,NUMEROOPTION,C,20,251,,97
98,1,17,CODE_TYPE_TERME,C,13,18,,98
99,1,17,DEBUT_TERME,C,13,31,,99
100,1,17,POURCENTAGE_ESCOMPTE,C,6,44,,100
101,1,17,DATE_DUE_ESCOMPTE,C,8,50,,101
102,1,17,JOUR_DUE_ESCOMPTE,C,3,58,,102
103,1,17,DATE_DUE_NET,C,8,61,,103
104,1,17,JOUR_DUE_NET,C,3,69,Terms Net Days,104
105,1,17,MONTANT_ESCOMPTE,C,10,72,,105
106,1,17,DESCRIPTION_TERME,C,80,82,,106
107,1,17,JOUR_DU_MOIS,C,2,162,,107
108,1,17,CODE_METHODE_PAIEMENT,C,13,164,,108
109,1,17,POURCENTAGE_TERME,C,5,177,,109
110,1,17,DATE_MONTANT_REMIS,C,8,182,,110
111,1,17,MONTANT_REMIS,C,10,192,,111
112,1,17,POURCENTAGE,C,10,202,,112
113,1,18,TYPE_IDENTITE,C,13,18,,113
114,1,18,IDENTITE,C,80,31,,114
115,1,18,ROUTING,C,35,111,,115
116,1,18,METHODE_TRANSPORT,C,13,146,,116
117,1,18,STATUTCOMMANDE,C,13,159,,117
118,1,18,NIVEAUSERVICE,C,13,172,,118
119,1,18,TYPELOCATION,C,13,185,,119
120,1,19,TYPEDESCRIPTION,C,12,18,,120
121,1,19,CODEEMBALLAGE,C,16,30,,121
122,1,19,CODEAGENCE,C,13,46,,122
123,1,19,CODEPACKDESC,C,18,59,,123
124,1,19,DESCRIPTIONPAQUET,C,80,77,,124
125,1,20,TYPETAXE,M,13,18,,125
126,1,20,MONTANTTAXE,C,18,31,,126
127,1,20,POURCENTAGETAXE,O,10,49,,127
128,1,21,CONTACT_FONC_CODE,C,13,18,,128
129,1,21,NOM-CONTACT,C,60,31,,129
130,1,22,NO_COM_QUAL,C,13,18,,130
131,1,22,NO_COMMUNICATION,C,80,31,,131
132,1,23,REF_NUMBER_QUAL,C,14,18,,132
