externalid,DocumentId,Group ID,Name,FirstSegment
1,6,1,SYS,1
2,6,1,PR_ENTETE,0
3,6,1,PR_REF,0
4,6,1,PR_SAC_ENTETE,0
5,6,1,PR_TERME_PMENT,0
6,6,1,PR_FOB_INFO,0
7,6,1,PR_DATES,0
8,6,1,PR_TRANSPORTEUR,0
9,6,1,PR_RESTRICTIONS,0
10,6,1,PR_SOMMAIRE,0
11,6,2,PR_CONTACT,1
12,6,2,PR_ENTITE_COM,0
13,6,3,PR_REF_MESSAGE,1
14,6,3,PR_MESSAGES,0
15,6,4,PR_NOMS,1
16,6,4,PR_NOM_SUP,0
17,6,4,PR_ADRESSE_SUP,0
18,6,4,PR_NOM_LOC_GEO,0
19,6,4,PR_REF_NOMS,0
20,6,5,PR_NOM_CONTACT,1
21,6,5,PR_NOM_ENTITE_COM,0
22,6,6,PR_ITEM,1
23,6,6,PR_CODEPRODUIT,0
24,6,6,PR_ITEM_ADD_DET,0
25,6,6,PR_ITEM_MESURE,0
26,6,6,PR_DESTINATIONQTE,0
27,6,6,PR_ITEM_DATES,0
28,6,6,PR_COUT_ITEM,0
29,6,6,PR_ITEM_PHYS_DET,0
30,6,6,PR_SAC_DETAIL,0
31,6,6,PR_ITEM_TAXE,0
32,6,6,PR_ITEM_DESC,0
33,6,6,PR_HORAIRE_ITEM,0
34,6,6,PR_ITEM_MONTANT,0
35,6,7,PR_ITEM_REF,1
36,6,8,PR_ITEM_ACK,1
37,6,8,PR_CODEPROD_ACK,0
38,6,8,PR_DATE_ACK,0
39,6,9,PR_REF_MSG_ITEM,1
40,6,9,PR_MESSAGE_ITEM,0
41,6,10,PR_NOMS_ITEM,1
42,6,10,PR_ADR_ITEM,0
43,6,10,PR_LOC_GEO_ITEM,0
44,6,11,PR_SOUS_ITEM,1
45,6,11,PR_CODE_SOUS_ITEM,0
