ExternalId,DocumentId,Segment ID,Name,Usage,Length,Start At,Description
1,4,1,SOURCE,,20,4,
2,4,1,STANDARD,,1,24,
3,4,1,VERSION,,12,25,
4,4,1,TYPEDOCUMENT,,6,37,
5,4,1,MODE,,1,43,
6,4,2,ID_ASN,M,30,18,Shipment Identification
7,4,2,DATE_ASN,M,8,48,Date
8,4,2,HEURE_ASN,M,8,56,Time
9,4,2,TYPE_STRUCTURE,O,4,64,Hierarchical Structure Code
10,4,2,TRANSACPURPOSECODE,O,2,68,Transaction Set Purpose Code
11,4,3,NB_HL,O,6,18,Number of Line Items
12,4,3,TOTAL_QTE_LIVREE,O,10,24,Hash Total
13,4,4,ID_SHIPMENT,O,12,18,Hierarchical ID Number
14,4,5,QTE_TOTALE_PACK,O,7,18,Lading Quantity
15,4,5,POIDS_TOTAL_PACK,O,10,25,Weight
16,4,5,UOFM_POIDS,O,2,35,Unit or Basis for Measurement Code
17,4,5,CODEPAQUET,O,5,37,Packaging Code
18,4,5,VOLUME_PO,O,10,42,Volume
19,4,5,UOFM_VOLUME_PO,O,2,52,Unit or Basis for Measurement Code
20,4,5,QUALIFIANT_POIDS,O,2,54,Weight Qualifier
21,4,5,QUALIFIANT CODE COMMODITÉE,O,1,56,Commodity Code Qualifier
22,4,5,CODE DE COMMODITÉE,O,5,57,Commodity Code
23,4,5,DESCRIPTION,O,30,62,Lading Description
24,4,6,TYPE_IDENTITE,O,2,18,Identification Code Qualifier
25,4,6,IDENTITE,O,80,20,Identification Code
26,4,6,ROUTING,O,35,100,Routing
27,4,6,METHODE_TRANSPORT,O,2,135,Transportation Method/Type Code
28,4,6,CODESEQUENCEROUTAGE,O,2,137,Routing Sequence Code
29,4,6,CODESTATUTSHIPMENT,O,2,139,Shipment/Order Status Code
30,4,6,SERVICELEVELCODE,O,2,141,Service Level Code
31,4,6,HANDLINGCODE,O,3,143,Special Handling Code
32,4,6,CODEDIRECTIONTRANSIT,O,2,146,Transit Direction Code
33,4,6,TYPEHEURETRANSIT,O,2,148,Transit Time Direction Qualifier
34,4,6,HEURETRANSIT,O,4,150,Transit Time
35,4,6,IDLOCATION,O,30,154,Location Identifier
36,4,7,CODEEQUIPEMENT,O,2,18,Equipment Description Code
37,4,7,NUMEROEQUIPEMENT,O,10,20,Equipment Number
38,4,7,INITIALEQUIPEMENT,O,4,30,Equipment Initial
39,4,7,SEAL NUMBER,O,15,34,Seal Number
40,4,8,TYPEREFERENCE,O,3,18,Reference Identification Qualifier
41,4,8,REFERENCE,O,30,21,Reference Identification
42,4,8,DESCRIPTION,O,80,51,Description
43,4,9,TYPEDATE,O,3,18,Date/Time Qualifier
44,4,9,DATE,O,8,21,Date
45,4,9,HEURE,O,8,29,Time
46,4,9,ZONE,O,2,37,Time Code
47,4,10,METHODEPAIEMENT,O,2,18,Shipment Method of Payment
48,4,10,FOBQUALLOC,O,2,20,Location Qualifier
49,4,10,DESCRIPTION,O,80,22,Description
50,4,10,TYPECODETERMETRANSPORT,O,2,102,Transportation Terms Qualifier Code
51,4,10,CODETERMETRANSPORT,O,3,104,Transportation Terms Code
52,4,10,FOBQUALLOC2,O,2,107,Location Qualifier
53,4,10,DESCRIPTION2,O,80,109,Description
54,4,11,TYPESAC,O,1,18,Allowance or Charge Indicator
55,4,11,CODESAC,O,4,19,"Service, Promotion, Allowance, or Charge Code"
56,4,11,TAUX,O,9,23,Rate
57,4,11,METHODEMAN,O,2,32,Allowance or Charge Method of Handling Code
58,4,11,MONTANTSAC,O,15,34,Amount
59,4,12,CONTACT_FONC_CODE,O,2,18,Contact Function Code
60,4,12,NOM_CONTACT,O,60,20,Name
61,4,13,NO_COM_QUAL,O,2,18,Communication Number Qualifier
62,4,13,NO_COMMUNICATION,O,60,20,Communication Number
63,4,14,TYPENOM,O,3,18,Entity Identifier Code
64,4,14,NOM,O,60,21,Name
65,4,14,TYPECODE,O,2,81,Identification Code Qualifier
66,4,14,CODEID,O,80,83,Identification Code
67,4,14,TYPESHIPTO,O,3,163,Entity Identifier Code
68,4,15,NOM_SUPP,O,60,18,Name
69,4,16,ADRESSE,O,55,18,Address Information
70,4,17,VILLE,O,30,18,City Name
71,4,17,PROVINCE,O,2,48,State or Province Code
72,4,17,CODE_POSTAL,O,15,50,Postal Code
73,4,17,CODE_PAYS,O,3,65,Country Code
74,4,17,DESCRIPTION_PAYS,O,25,68,Location Identifier
75,4,18,TYPEREFERENCE,O,3,18,Reference Identification Qualifier
76,4,18,REFERENCE,O,30,21,Reference Identification
77,4,18,DESCRIPTION,O,80,51,Description
78,4,19,CONTACT_FONC_CODE,O,2,18,Contact Function Code
79,4,19,NOM_CONTACT,O,60,20,Name
80,4,20,NO_COM_QUAL,O,2,18,Communication Number Qualifier
81,4,20,NO_COMMUNICATION,O,60,20,Communication Number
82,4,21,ID_ORDER,O,12,18,Hierarchical ID Number
83,4,21,ID_PARENT_ORDER,O,12,30,Hierarchical Parent ID Number
