externalid,DocumentId,Group ID,Name,FirstSegment
1,4,1,SYS,1
2,4,1,ASN_ENTETE,0
3,4,1,ASN_SOMMAIRE,0
4,4,2,HL_SHIPMENT,1
5,4,2,ASN_DET_QTE_POIDS,0
6,4,2,ASN_TRANSPORTEUR,0
7,4,2,ASN_EQUIPEMENTS,0
8,4,2,ASN_REFERENCE,0
9,4,2,ASN_DATE,0
10,4,2,ASN_FOB,0
11,4,2,ASN_SAC,0
12,4,3,ASN_COM_CONTACT,1
13,4,3,ASN_ENTITE_COM,0
14,4,4,ASN_NOM,1
15,4,4,ASN_NOM_SUP,0
16,4,4,ASN_ADRESSE_SUP,0
17,4,4,ASN_NOM_LOC_GEO,0
18,4,5,ASN_NOM_REFERENCE,1
19,4,6,ASN_NOM_CONTACT,1
20,4,6,ASN_NOM_ENT_COM,0
21,4,7,HL_ORDER,1
22,4,7,ASN_PO,0
23,4,7,ASN_PO_REF,0
24,4,7,ASN_PO_DATE,0
25,4,7,ASN_PO_QTE_POIDS,0
26,4,7,ASN_PO_TRANS,0
27,4,8,ASN_SAC_PO,1
28,4,8,ASN_SAC_TAXE_PO,0
29,4,9,ASN_PO_NOM,1
30,4,9,ASN_PO_ADRESSE,0
31,4,9,ASN_PO_LOC_GEO,0
32,4,10,HL_PALETTE,1
33,4,10,ASN_PLT_QTE_POIDS,0
34,4,10,ASN_PALETTE,0
35,4,10,ASN_INFO_PALETTE,0
36,4,11,HL_PAQUET,1
37,4,11,ASN_PAQUET,0
38,4,11,ASN_INFO_PAQUET,0
39,4,11,ASN_PQT_QTE_POIDS,0
40,4,11,ASN_PAQUET_TRANS,0
41,4,11,ASN_PQT_PHYS_DET,0
42,4,11,ASN_PQT_REF,0
43,4,11,ASN_PQT_DATE,0
44,4,11,ASN_PAQUET_SAC,0
45,4,11,ASN_PQT_CODEPROD,0
46,4,11,ASN_PQT_ITEM,0
47,4,12,ASN_PAQUET_NOM,1
48,4,13,HL_ITEM,1
49,4,13,ASN_CODEPRODUIT,0
50,4,13,ASN_ITEM,0
51,4,13,ASN_ITEM_PHYS_DET,0
52,4,13,ASN_ITEM_PRIX,0
53,4,13,ASN_ITEM_DESC,0
54,4,13,ASN_ITEM_MANIPUL,0
55,4,13,ASN_ITM_QTE_POIDS,0
56,4,13,ASN_ITEM_TRANSP,0
57,4,13,ASN_ITEM_REF,0
58,4,13,ASN_ITEM_MAN,0
59,4,13,ASN_ITEM_DATE,0
60,4,13,ASN_ITEM_YNQ,0
61,4,14,ASN_SOUS_ITEM,1
62,4,14,ASN_CODE_SOUS_ITM,0
63,4,15,ASN_ITEM_CLD,1
64,4,15,ASN_ITEM_CLD_REF,0
65,4,16,ASN_ITEM_NOM,1
66,4,16,ASN_ITEM_ADRESSE,0
67,4,16,ASN_ITEM_LOC_GEO,0
