ExternalId,DocumentId,Segment ID,Name,Usage,Length,Start At,Description
1,9,1,TYPEDOCUMENT,M,3,4,
2,9,1,ESPACE,M,1,7,
3,9,1,SOURCE,M,20,8,
4,9,1,ESPACE2,M,1,28,
5,9,1,STANDARD,M,1,29,
6,9,1,VERSION,M,10,30,
7,9,1,MODE,M,1,40,
8,9,2,CODERAPPORT,C,12,18,
9,9,2,NUMEROCOMMANDEDEPOSANT,C,22,30,
10,9,2,DATE,C,8,52,
11,9,2,NUMEROIDSHIPMENT,C,30,60,
12,9,2,NUMEROIDAGENTSHIPMENT,C,12,90,
13,9,2,NUMEROPO,C,22,102,
14,9,2,CODECONSOLIDATION,C,12,124,
15,9,2,NUMEROBONCONNAISSEMENT,C,12,136,
16,9,2,NUMEROREFERENCEMAITRE,C,22,148,
17,9,2,NUMEROSEQUENCELIEN,C,6,170,
18,9,2,CODEACTION,C,2,176,
19,9,3,TYPE_REFERENCE,C,14,18,
20,9,3,REFERENCE,C,50,32,
21,9,3,DESCRIPTION,C,45,82,
22,9,4,TYPE_DATE,C,13,18,
23,9,4,DATE,C,8,31,
24,9,4,TYPEHEURE,C,13,39,
25,9,4,HEURE,C,8,52,
26,9,5,TYPE_DATE,C,14,18,
27,9,5,DATE,C,8,32,
28,9,5,HEURE,C,8,40,
29,9,6,TYPE_MESSAGE,C,14,18,
30,9,6,MESSAGES,C,80,32,
31,9,7,CODEMETHODETRANSPORT,C,13,18,
32,9,7,CODESCAC,C,4,31,
33,9,7,ROUTING,C,35,35,
34,9,7,METHODEPAIEMENT,C,13,70,
35,9,7,EQUIPEMENTDESCCODE,C,13,83,
36,9,7,EQUIPMENTINITIALES,C,4,96,
37,9,7,EQUIPMENTNUMERO,C,10,100,
38,9,8,NBREPALLETTESLIVREES,C,3,18,
39,9,8,UNITECODECHARGE,C,13,21,
40,9,8,CODEECHANGEPALETTE,C,12,34,
41,9,8,SEALNUMERO,C,15,46,
42,9,8,SEALNUMERO2,C,15,61,
43,9,9,CODECHARGEALLOCATION,M,14,18,
44,9,9,CODE_MANIPULATION,M,13,32,
45,9,9,NUMEROCHARGEALLOCATION,C,16,45,
46,9,9,NUMEROEXCEPTION,C,16,61,
47,9,9,TAUXCHARGEALLOCATION,C,15,77,
48,9,9,QUANTITECHARGEALLOCATION,C,10,92,
49,9,9,UOFM,C,13,102,
50,9,9,MONTANT,C,15,115,
51,9,9,POURCENT,C,6,130,
52,9,9,BASEDOLLARPOURCENT,C,9,136,
53,9,9,NUMEROOPTION,C,20,145,
54,9,10,NBRETOTALUNITESLIVREES,C,10,18,
55,9,10,POIDSTOTAL,C,10,28,
56,9,10,UOFMPOIDS,C,13,38,
57,9,10,VOLUMETOTAL,C,8,51,
58,9,10,UOFMVOLUME,C,13,59,
59,9,10,NBREUNITECHARGEMENT,C,7,72,
60,9,10,UOFM,C,13,79,
61,9,11,TYPE_NOM,M,14,18,
62,9,11,NOM,C,60,32,
63,9,11,TYPE_CODEIDNOM,C,13,92,
64,9,11,CODE_IDNOM,C,80,105,
65,9,12,ADRESSE,O,55,18,
66,9,13,VILLE,O,30,18,
67,9,13,PROVINCE,O,2,48,
68,9,13,CODE_POSTAL,O,15,50,
69,9,13,CODE_PAYS,O,3,65,
70,9,13,DESCRIPTION_PAYS,O,25,68,
71,9,14,CONTACTFONCCODE,M,13,18,
72,9,14,NOMCONTACT,M,60,31,
73,9,15,NOCOMQUAL,M,13,18,
74,9,15,NOCOMMUNICATION,M,80,31,
75,9,16,NUMEROSEQUENTIEL,C,6,18,
76,9,17,TYPEMAN,M,13,18,
77,9,17,MARKSANDNUMBER,M,48,31,
78,9,18,CODETYPEPALETTE,C,2,18,
79,9,18,PALETTEPACK,C,6,20,
80,9,18,PALETTETIERS,C,3,26,
81,9,18,PALETTEBLOCKS,C,3,29,
82,9,18,POIDSPALETTE,C,8,32,
83,9,18,UOFMPOIDS,C,2,40,
84,9,18,CODEECHANGEPALETTE,C,1,42,
85,9,18,LONGUEUR,C,8,43,
86,9,18,LARGEUR,C,8,51,
87,9,18,HAUTEUR,C,8,59,
88,9,18,UOFM_DIMENSION,C,2,67,
89,9,18,POIDSBRUTPARPAQUET,C,9,69,
90,9,18,UOFM_POIDSPARPAQUET,C,2,78,
91,9,19,CODESTATUTLIVRAISON,C,13,18,
92,9,19,QUANTITECOMMANDEE,C,15,31,
93,9,19,NBREUNITESLIVREES,C,10,46,
94,9,19,UOFM,C,13,56,
95,9,19,DIFFERENCEDEQUANTITE,C,9,69,
96,9,19,POIDS,C,10,78,
97,9,19,POIDSQUALIFIANT,C,13,88,
98,9,19,POIDSCODEUNITAIRE,C,12,101,
99,9,19,DATEPRODUCTIONLOT,C,8,113,
100,9,19,ITEMCHANCEREASONID,O,13,121,
101,9,20,TYPECODEPRODUIT,C,13,18,
102,9,20,CODEPRODUIT,C,48,31,
103,9,21,DESCRIPTIONLIBRE,C,45,18,
104,9,22,TYPE_REFERENCE,C,14,18,
105,9,22,REFERENCE,C,50,32,
106,9,22,DESCRIPTION,C,45,82,
107,9,22,DATE,C,8,127,
108,9,23,TYPE_DATE,C,13,18,
109,9,23,DATE,C,8,31,
110,9,23,TYPEHEURE,C,13,39,
111,9,23,HEURE,C,8,52,
112,9,24,MEASUREREFID,C,13,18,
113,9,24,MEASUREQUAL,C,14,31,
114,9,24,MEASUREVALUE,C,20,45,
115,9,24,UOM,C,13,65,
116,9,24,RANGEMIN,C,20,78,
117,9,24,RANGEMAX,C,20,98,
118,9,25,NUMEROSEQUENTIEL,C,6,18,
119,9,26,TYPE_NOM,M,14,18,
120,9,26,NOM,C,60,32,
121,9,26,TYPE_CODEIDNOM,C,13,92,
122,9,26,CODE_IDNOM,C,80,105,
123,9,27,CODERELATION,C,13,18,
124,9,27,QTETOTALE,C,15,31,
125,9,27,UOFM,C,13,46,
126,9,28,TYPECODEPRODUIT,C,13,18,
127,9,28,CODEPRODUIT,C,48,31,
128,9,29,CODECARACTERISTIQUE,O,14,18,
129,9,29,CODEDESCRIPTIONPRODUIT,C,12,32,
130,9,29,DESCRIPTIONITEM,C,80,44,
131,9,30,TYPEDATE,M,14,18,
132,9,30,DATE,M,8,32,
133,9,30,HEURE,O,6,40,
134,9,31,LXNUMBER,C,6,18,
135,9,32,LOTSEQUENCEQUAL,C,14,18,
136,9,32,LOTSEQUENCENUMBER,C,30,32,
137,9,33,LOTNUMBERQUAL,O,14,18,
138,9,33,LOTNUMBER,C,30,32,
139,9,34,LOTQUANTITYQUAL,C,14,18,
140,9,34,LOTQUANTITY,C,30,32,
141,9,35,LOTDATEQUAL,C,14,18,
142,9,35,LOTDATE,C,30,32,
143,9,36,LOTLOCATIONQUAL,C,14,18,
144,9,36,LOTLOCATION,C,30,32,
